cell_type	comparison	gene_symbol	full_logFC	full_PValue	full_FDR	n_lodo_runnable	n_lodo_gene_tested	n_lodo_same_direction	fraction_lodo_same_direction	n_lodo_nominal_0_05	n_lodo_FDR_0_10	n_lodo_FDR_0_05	min_lodo_logFC	max_lodo_logFC	leave_out_donors	stable_direction_all_lodo	gene_tested_all_lodo	stable_tested_direction_all_lodo	stable_direction_min_80pct	retained_nominal_signal_any_lodo
Fibroblast	non_diabetic_ED_vs_normal	COL13A1	2.07241968017208	0.000334018374014012	0.0597069003405207	6	6	6	1	6	1	1	1.62213194006059	2.27832813110677	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	RP11-431K24.1	2.68691500029472	0.000337476469335449	0.0597069003405207	6	6	6	1	6	1	0	2.38932822442592	2.91065005886178	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	MOCOS	1.32536839721359	0.000340150994229223	0.0597069003405207	6	6	6	1	6	1	0	1.15317619957119	1.43777666586742	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	FAM53C	1.2117076321147	0.000342195617125662	0.0597069003405207	6	6	6	1	6	1	0	1.06306179443997	1.28993262698511	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	RP11-379F4.7	-1.72221431209072	0.000345240227260388	0.0597069003405207	6	6	6	1	6	1	0	-1.80121013485234	-1.66213785250695	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	EGR3	2.14165253160502	0.000345936618290337	0.0597069003405207	6	6	6	1	6	2	1	1.60169234014309	2.35692786179385	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	SLC19A2	1.54330809336569	0.000352937643389668	0.0597069003405207	6	6	6	1	6	1	0	1.31011430472346	1.69496353708007	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	RIPPLY2	2.45369555571899	0.000355895005846514	0.0597069003405207	6	6	6	1	6	1	1	2.22616530060775	2.80475802633655	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	BEX2	1.73474383948597	0.000363711111920479	0.0597069003405207	6	6	6	1	6	1	1	1.43889492071172	1.97878468292817	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	USP2	3.10386069042673	0.000367381092826651	0.0597069003405207	6	6	6	1	6	2	1	2.6607700261336	3.53088401889053	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	BBC3	-1.47914700248584	0.000370404767405172	0.0597069003405207	6	6	6	1	6	1	1	-1.7129504211799	-1.36139058670234	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	NTS	3.46103371800539	0.000374523247953892	0.0597069003405207	6	6	6	1	6	2	1	2.76946131918504	4.01235699538079	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	DACH1	3.58974039634287	0.000378036636534847	0.0597069003405207	6	6	6	1	6	1	1	2.99048250830079	4.22816459492924	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	EDIL3	1.41650232012032	0.000380081543214052	0.0597069003405207	6	6	6	1	6	2	0	1.22398150827582	1.64944247643249	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	WNK3	1.63094639522673	0.000383872147709905	0.0597069003405207	6	6	6	1	6	1	0	1.49884427510806	1.75725360911144	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	MTTP	2.84491988958365	0.000384013863815522	0.0597069003405207	6	6	6	1	6	2	1	2.50126572006441	3.3988986232307	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	PHGDH	1.02797468674853	0.000384879745651227	0.0597069003405207	6	6	6	1	6	1	0	0.998434551203018	1.07294119138995	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	PTPRO	-3.47989886504223	0.000389371429047564	0.059799664073125	6	6	6	1	6	1	0	-3.81408097658417	-3.03765495143649	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	PLIN1	4.423685192412	0.000397873364549933	0.0605003874530483	6	6	6	1	6	2	1	3.63438808378549	5.24236038824635	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	NAB2	-1.0378214028369	0.000408218132749436	0.0609095050822775	6	6	6	1	6	1	0	-1.12395759537836	-0.987650849961899	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	HOXC11	2.59057275829431	0.00040849583431922	0.0609095050822775	6	6	6	1	6	2	0	2.36829982791861	2.99869007065427	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	TMEM200C	1.38846089913073	0.000419662623235773	0.0619728708428366	6	6	6	1	6	1	1	1.27195744169006	1.48915337042963	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	PPP1R1B	3.37561572481132	0.000425266500945773	0.0622023135383351	6	6	6	1	6	1	1	2.87051292267462	3.78904605177047	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
