cell_type	comparison	gene_symbol	full_logFC	full_PValue	full_FDR	n_lodo_runnable	n_lodo_gene_tested	n_lodo_same_direction	fraction_lodo_same_direction	n_lodo_nominal_0_05	n_lodo_FDR_0_10	n_lodo_FDR_0_05	min_lodo_logFC	max_lodo_logFC	leave_out_donors	stable_direction_all_lodo	gene_tested_all_lodo	stable_tested_direction_all_lodo	stable_direction_min_80pct	retained_nominal_signal_any_lodo	direction	program_ids	has_curated_program
Fibroblast	organic_ED_vs_normal	KLHL15	2.03270249120002	3.65892290646767e-05	0.0392714153481743	8	8	8	1.0	8	5	1	1.81943701534828	2.18887392899834	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	organic_ED_vs_normal	SLC19A2	1.70083295646319	3.75515541673115e-05	0.0392714153481743	8	8	8	1.0	8	6	2	1.46988514271379	1.84849837916859	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	organic_ED_vs_normal	DPP4	-4.49571835675777	4.62448293356317e-05	0.0426738879562404	8	8	8	1.0	8	7	0	-5.17267897052594	-3.72362287053731	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	down_in_ED		False
Fibroblast	organic_ED_vs_normal	ADAMTS1	2.94335588638802	4.8873966185399e-05	0.0426738879562404	8	8	8	1.0	8	6	2	2.61965571405875	3.59201044759946	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED	ecm_fibrosis	True
Fibroblast	organic_ED_vs_normal	TMEM200C	1.37978838903407	4.93508957656732e-05	0.0426738879562404	8	8	8	1.0	8	5	1	1.32096315557073	1.43340055763862	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	organic_ED_vs_normal	DUSP5	3.71803054324018	5.16863562930177e-05	0.0426738879562404	8	8	8	1.0	8	5	2	3.42205922465302	3.96072070432431	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED	immediate_early_stress	True
Fibroblast	organic_ED_vs_normal	AIF1L	3.14500453065777	5.68026940824998e-05	0.0445531931036087	8	8	8	1.0	8	5	1	2.98716734216589	3.38380583738716	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	organic_ED_vs_normal	GPR68	-2.30371214031067	6.51816327133662e-05	0.0486906796368846	8	8	8	1.0	8	6	2	-2.48901851132295	-2.09818046093313	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	down_in_ED		False
Macrophage	diabetic_ED_vs_normal	HLA-DQA2	-8.1833439856146	5.64353651151814e-07	0.0061249301759506	3	3	3	1.0	3	3	1	-8.37873122559948	-8.03531285770262	N1,N2,N3	True	True	True	True	True	down_in_ED	inflammation_antigen_presentation	True
Macrophage	non_diabetic_ED_vs_normal	HLA-DQA2	-8.87601905517534	6.80546683371126e-07	0.0068510634614971	3	3	3	1.0	3	3	2	-9.07845973870105	-8.72178827559074	N1,N2,N3	True	True	True	True	True	down_in_ED	inflammation_antigen_presentation	True
Macrophage	organic_ED_vs_normal	HLA-DQA2	-8.40541908148024	4.036915287362911e-09	3.99170183614444e-05	7	7	7	1.0	7	7	7	-8.76916195659834	-8.26785803982533	DMED1,DMED2,ED1,ED3,N1,N2,N3	True	True	True	True	True	down_in_ED	inflammation_antigen_presentation	True
Mural	diabetic_ED_vs_normal	ERAP2	-4.07416883361962	4.63810736902245e-06	0.0310333164396307	3	3	3	1.0	3	1	1	-4.24606463826165	-3.69339926083347	N1,N2,N3	True	True	True	True	True	down_in_ED	diabetes_age_metabolic	True
Mural	diabetic_ED_vs_normal	TRIB1	4.48685276198921	1.51106691612704e-05	0.0310333164396307	3	3	3	1.0	3	1	0	4.2324337350907	5.05839365348659	N1,N2,N3	True	True	True	True	True	up_in_ED		False
Mural	diabetic_ED_vs_normal	DNAH11	-4.77839937046901	1.55083464756083e-05	0.0310333164396307	3	3	3	1.0	3	1	0	-5.008120729031	-4.38242206832288	N1,N2,N3	True	True	True	True	True	down_in_ED		False
Mural	diabetic_ED_vs_normal	DUSP5	3.55450969066455	1.64364031462581e-05	0.0310333164396307	3	3	3	1.0	3	1	0	3.45000065941594	3.72236328055699	N1,N2,N3	True	True	True	True	True	up_in_ED	immediate_early_stress	True
Mural	diabetic_ED_vs_normal	GSC	-2.86957169753249	1.66103438100939e-05	0.0310333164396307	3	3	3	1.0	3	1	1	-2.98082978270537	-2.63410281768724	N1,N2,N3	True	True	True	True	True	down_in_ED		False
Mural	diabetic_ED_vs_normal	ABCC9	-2.62902657458597	2.00171243323662e-05	0.0310333164396307	3	3	3	1.0	3	1	1	-2.76664869286508	-2.31620768205699	N1,N2,N3	True	True	True	True	True	down_in_ED	smooth_muscle_contractility	True
Mural	diabetic_ED_vs_normal	NEDD9	2.49971800091054	2.08938362101967e-05	0.0310333164396307	3	3	3	1.0	3	1	1	2.39989345849016	2.79308991999473	N1,N2,N3	True	True	True	True	True	up_in_ED		False
Mural	diabetic_ED_vs_normal	GUCY1A2	-2.18078661550501	3.46122988486715e-05	0.0417670389148131	3	3	3	1.0	3	1	0	-2.25309677282066	-2.02476039066874	N1,N2,N3	True	True	True	True	True	down_in_ED	endothelial_no_angiogenesis,smooth_muscle_contractility	True
Mural	diabetic_ED_vs_normal	THBD	2.17043042738684	3.81269277455662e-05	0.0417670389148131	3	3	3	1.0	3	1	0	2.04333984018242	2.28814557805991	N1,N2,N3	True	True	True	True	True	up_in_ED		False
Mural	diabetic_ED_vs_normal	CSGALNACT1	-2.42304157661403	4.84254189604274e-05	0.0417670389148131	3	3	3	1.0	3	1	0	-2.55851355748098	-2.07332035354415	N1,N2,N3	True	True	True	True	True	down_in_ED		False
Mural	diabetic_ED_vs_normal	KCNJ8	-2.13391638748164	5.9005042363605e-05	0.0417670389148131	3	3	3	1.0	3	1	0	-2.21185369712513	-1.98304797267392	N1,N2,N3	True	True	True	True	True	down_in_ED		False
Mural	diabetic_ED_vs_normal	THBS1	3.57087971665322	5.91198562409889e-05	0.0417670389148131	3	3	3	1.0	3	1	0	3.34709141508082	3.908461928388	N1,N2,N3	True	True	True	True	True	up_in_ED	ecm_fibrosis	True
Mural	diabetic_ED_vs_normal	HSPB8	2.360683049453	7.4245287909113e-05	0.0417670389148131	3	3	3	1.0	3	1	0	2.20097742759268	2.70931951997155	N1,N2,N3	True	True	True	True	True	up_in_ED	immediate_early_stress	True
Mural	diabetic_ED_vs_normal	HBEGF	3.92814587198095	7.54996383347423e-05	0.0417670389148131	3	3	3	1.0	3	1	0	3.76280535379589	4.23908895875386	N1,N2,N3	True	True	True	True	True	up_in_ED		False
Mural	diabetic_ED_vs_normal	COLEC11	-3.44005928880552	7.69662145680674e-05	0.0417670389148131	3	3	3	1.0	3	1	1	-3.74981918702992	-3.05102211551804	N1,N2,N3	True	True	True	True	True	down_in_ED		False
Mural	diabetic_ED_vs_normal	CSPG4	1.9713456920937	7.82822434484539e-05	0.0417670389148131	3	3	3	1.0	3	1	0	1.82922444009024	2.17434604247881	N1,N2,N3	True	True	True	True	True	up_in_ED		False
Mural	diabetic_ED_vs_normal	DLX5	-2.24255648477894	8.03409485428159e-05	0.0417670389148131	3	3	3	1.0	3	1	0	-2.36851774001078	-2.06318876412052	N1,N2,N3	True	True	True	True	True	down_in_ED		False
Mural	diabetic_ED_vs_normal	DLX6	-2.23911278823824	8.6520277010623e-05	0.0417670389148131	3	3	3	1.0	3	1	0	-2.40741675660905	-2.03122278435491	N1,N2,N3	True	True	True	True	True	down_in_ED		False
Mural	diabetic_ED_vs_normal	FABP4	-2.655249452053	8.70247870027822e-05	0.0417670389148131	3	3	3	1.0	3	1	1	-2.85307382803295	-2.19965599588998	N1,N2,N3	True	True	True	True	True	down_in_ED		False
Mural	diabetic_ED_vs_normal	ADAMTS9	2.4411799409653	8.72082432538655e-05	0.0417670389148131	3	3	3	1.0	3	1	0	2.20759369372656	2.81790082841293	N1,N2,N3	True	True	True	True	True	up_in_ED		False
Mural	diabetic_ED_vs_normal	BTC	2.59609802545093	8.91287710291026e-05	0.0417670389148131	3	3	3	1.0	3	1	0	2.39588634128766	2.80654352983852	N1,N2,N3	True	True	True	True	True	up_in_ED		False
Mural	diabetic_ED_vs_normal	HIC1	-1.95553659570981	9.20539132228502e-05	0.0417670389148131	3	3	3	1.0	3	1	0	-2.07468704344752	-1.71233190200097	N1,N2,N3	True	True	True	True	True	down_in_ED		False
