group	names	scores	logfoldchanges	pvals	pvals_adj	pct_nz_group	pct_nz_reference
1	CSF1R	66.821846	9.428041	0.0	0.0	0.8987939171473519	0.008258567669530483
1	FTL	66.3284	2.136791	0.0	0.0	1.0	0.9945312747677774
1	CD14	66.09884	5.804797	0.0	0.0	0.918720503408495	0.14863836667406397
1	C1QC	66.00297	9.604423	0.0	0.0	0.8877818563188253	0.011682465206226421
1	HLA-DRB1	65.85902	4.537754	0.0	0.0	0.9821709491347667	0.44975113337349015
1	MS4A7	65.764114	9.627805	0.0	0.0	0.8846355532249607	0.008052499762229338
1	LAPTM5	65.59932	6.246433	0.0	0.0	0.9029889879391715	0.05486161747455854
1	F13A1	63.205837	8.884965	0.0	0.0	0.8515993707393812	0.011206923881685319
1	HLA-DQB1	63.170002	5.150871	0.0	0.0	0.8925013109596225	0.17797926639825
1	FOLR2	63.1512	9.091651	0.0	0.0	0.8505506030414264	0.011888533113527566
1	CD68	63.106518	6.0181117	0.0	0.0	0.8662821185107499	0.07332847224423802
1	CD163	62.70719	9.408282	0.0	0.0	0.8437336130047195	0.006927051960815395
1	CYBA	62.641693	3.261337	0.0	0.0	0.9507079181961196	0.5175474748755667
1	CYBB	62.614193	9.548882	0.0	0.0	0.8421604614577871	0.005104143550074502
1	HLA-DMA	62.158524	4.164334	0.0	0.0	0.9061352910330361	0.2554925022984497
1	CTSB	61.34295	3.122023	0.0	0.0	0.9486103828002097	0.5799226452778746
1	FCGR2A	61.26987	8.402207	0.0	0.0	0.8259045621394862	0.011682465206226421
1	MPEG1	60.752663	9.628157	0.0	0.0	0.8169900367068694	0.004089655391053482
1	GPX1	60.54248	2.6737275	0.0	0.0	0.9475616151022549	0.7106965095266778
1	MS4A4A	60.506207	9.302212	0.0	0.0	0.8143681174619821	0.006594173033636623
1	HLA-DQA1	59.531956	6.081382	0.0	0.0	0.8253801782905087	0.07573788162191294
1	STAB1	59.41146	5.3798275	0.0	0.0	0.8379653906659675	0.13690834733538346
1	CTSZ	59.10578	2.831337	0.0	0.0	0.9229155742003147	0.5622959135148844
1	GRN	59.071747	2.7122493	0.0	0.0	0.9334032511798637	0.594711980471103
1	RNASET2	58.92168	3.938664	0.0	0.0	0.8610382800209754	0.23184224709127224
1	ITGB2	58.783268	6.0095353	0.0	0.0	0.816465652857892	0.029673778651364804
1	DAB2	58.7577	3.7640064	0.0	0.0	0.8951232302045097	0.4236280632786989
1	SRGN	58.62247	3.8604877	0.0	0.0	0.9286837965390666	0.38778809878578446
1	PTPRC	58.57545	5.419334	0.0	0.0	0.8306240167802832	0.03492058459880164
1	MAF	58.440407	4.6177473	0.0	0.0	0.8495018353434715	0.21153663253336716
1	PSAP	58.17586	1.8910321	0.0	0.0	0.989512323020451	0.8934945946802777
1	FGL2	57.95934	3.4601812	0.0	0.0	0.9071840587309911	0.3433091335637067
1	TGFBI	57.217976	4.5354958	0.0	0.0	0.8274777136864184	0.12750848048695432
1	FCGRT	57.209892	2.1211443	0.0	0.0	0.9653906659674882	0.7921884411755381
1	RNASE1	56.439606	4.5360484	0.0	0.0	0.8589407446250655	0.38493485083853785
1	HLA-DMB	56.35915	5.2534175	0.0	0.0	0.7881489250131096	0.07767174967504677
1	NPC2	56.319508	2.1248698	0.0	0.0	0.9680125852123754	0.7783660400088768
1	CST3	56.244152	1.9583241	0.0	0.0	0.9984268484530676	0.9669023238119393
1	LYVE1	55.35519	6.895302	0.0	0.0	0.75721027792344	0.038392036267951686
1	VSIG4	55.344326	9.335703	0.0	0.0	0.7446250655479811	0.004343277430808737
1	KLF6	54.63674	2.5648034	0.0	0.0	0.9690613529103304	0.7435722664299528
1	SEPP1	54.22752	3.2288816	0.0	0.0	0.8851599370739381	0.7688710648955395
1	ADAP2	53.862534	8.272142	0.0	0.0	0.7267960146827478	0.00783058047744349
1	IQGAP2	53.057205	5.7037387	0.0	0.0	0.7372836916622968	0.04154646038740767
1	MAFB	52.35166	3.0392847	0.0	0.0	0.8930256948086	0.44922803791649496
1	LGMN	51.185665	3.853367	0.0	0.0	0.8169900367068694	0.39680753257458073
1	MSR1	50.822273	9.305405	0.0	0.0	0.6837965390665968	0.0034080461592112354
1	ZEB2	50.41796	2.7613308	0.0	0.0	0.8542212899842685	0.4010081476080271
1	SLC40A1	49.754005	3.572996	0.0	0.0	0.7949659150498165	0.3521066480677171
1	CD4	49.694714	7.051559	0.0	0.0	0.6754063974829575	0.011191072504200615
1	ALOX5AP	49.53896	5.8631015	0.0	0.0	0.686418458311484	0.02353929556478458
1	GPR183	48.9518	6.5039005	0.0	0.0	0.6738332459360251	0.02491836540595378
1	RNASE6	48.832237	8.853522	0.0	0.0	0.6575773466177242	0.003677519576451194
1	VAMP8	48.707115	5.0416393	0.0	0.0	0.6869428421604614	0.058539137051009736
1	MT-CO1	48.42974	1.294457	0.0	0.0	0.9958049292081804	0.9926132580921282
1	NEAT1	48.39168	1.8394845	0.0	0.0	0.9842684845306765	0.9102812034365786
1	STK17B	48.331173	4.4095144	0.0	0.0	0.7042475091767174	0.09507656215325112
1	MARCKS	48.143875	2.1251945	0.0	0.0	0.912952281069743	0.6560568113369052
1	SLCO2B1	47.851902	5.0553026	0.0	0.0	0.6764551651809124	0.06189962907776686
1	FCGR2B	47.807	8.610192	0.0	0.0	0.6444677503932879	0.005199251814982722
1	GPR34	47.623035	8.969041	0.0	0.0	0.6413214472994232	0.003804330596328821
1	LYZ	47.33057	8.759016	0.0	0.0	0.6381751442055584	0.005738198649462638
1	MFSD1	47.234455	3.3771505	0.0	0.0	0.7388568432092292	0.22539073645499794
1	FRMD4B	46.89486	3.023947	0.0	0.0	0.7687467226009439	0.2572203024442824
1	IGSF6	46.727108	8.953262	0.0	0.0	0.6292606187729418	0.0038201819738135244
1	CD53	46.7172	5.6072764	0.0	0.0	0.6486628211851075	0.019734964968455757
1	SAT1	46.64521	1.9905139	0.0	0.0	0.9596224436287363	0.7567130583647719
1	CXCL16	46.587265	4.2299714	0.0	0.0	0.6801258521237545	0.10943791015439241
1	CPVL	46.45501	3.2171755	0.0	0.0	0.7441006816990037	0.22849760644199982
1	HCST	46.1924	5.052639	0.0	0.0	0.6570529627687467	0.03672764163205783
1	HCLS1	45.87487	4.8027697	0.0	0.0	0.6518091242789722	0.054164156865231586
1	PABPC1	45.810844	1.5799873	0.0	0.0	0.9339276350288411	0.7798719208699236
1	SPI1	45.74208	7.9201903	0.0	0.0	0.6177241740954379	0.006927051960815395
1	LCP1	45.576424	5.273864	0.0	0.0	0.6392239119035134	0.026852233459087594
1	FTH1	45.50095	1.1583782	0.0	0.0	0.9979024646040902	0.9964492914434264
1	C5AR1	45.362766	7.662378	0.0	0.0	0.6151022548505506	0.012332371683099261
1	LILRB5	44.66786	8.461956	0.0	0.0	0.6025170424750917	0.005389468344799163
1	NCF4	44.525223	7.7358227	0.0	0.0	0.6019926586261143	0.006007672066702596
1	C3AR1	43.97516	8.658763	0.0	0.0	0.5925537493445202	0.0034556002916653456
1	RGS10	43.856472	3.532363	0.0	0.0	0.6743576297850026	0.15681767745617095
1	PLEK	43.357025	7.3171034	0.0	0.0	0.5878342947037232	0.0067209840535142505
1	SMAP2	43.236214	4.0992956	0.0	0.0	0.637650760356581	0.09865897346479409
1	ARRB2	43.08583	4.7079387	0.0	0.0	0.6135291033036182	0.05815870399137685
1	EMB	42.977783	5.530379	0.0	0.0	0.5977975878342947	0.02552071775037251
1	PTPRE	42.898792	3.5297594	0.0	0.0	0.664394336654431	0.1506831943695907
1	RGS1	42.644997	6.8349237	0.0	0.0	0.5820660723649712	0.011967790000951082
1	CD84	42.601364	6.7953897	0.0	0.0	0.5799685369690614	0.00898773103382684
1	SGK1	42.595905	4.2215943	0.0	0.0	0.6444677503932879	0.1404273531369876
2	CD63	65.90017	1.2833272	0.0	0.0	0.9987775061124694	0.9724971617710548
2	COL1A2	63.66165	3.159627	0.0	0.0	0.9942950285248574	0.5341946625305809
2	COL1A1	62.198513	3.187193	0.0	0.0	0.9515077424612877	0.41393370536785046
2	LUM	61.77662	3.1923275	0.0	0.0	0.9845150774246129	0.4778298341834695
2	LGALS3	60.826424	1.6422467	0.0	0.0	0.9975550122249389	0.9078495019108077
2	S100A11	60.121204	1.6173422	0.0	0.0	0.9955175224123879	0.9053550584435313
2	PCOLCE	60.03927	2.6511295	0.0	0.0	0.9441727791361043	0.40995218983354387
2	COL6A3	59.72228	2.8824458	0.0	0.0	0.9767726161369193	0.44420281744191625
2	LGALS1	59.711086	1.9672464	0.0	0.0	0.9995925020374898	0.868306176945586
2	S100A4	57.935112	2.7710483	0.0	0.0	0.9942950285248574	0.5981227713906523
2	GPX4	57.158535	1.5209157	0.0	0.0	0.9857375713121435	0.8601672556324853
2	COL3A1	57.07734	2.6454184	0.0	0.0	0.9396903015484923	0.54019092086538
2	MGP	55.285465	2.3959987	0.0	0.0	1.0	0.8926749708182095
2	EMP3	55.04899	2.173622	0.0	0.0	0.9784026079869601	0.6077007947041047
2	SPON2	54.496525	2.660135	0.0	0.0	0.9079054604726976	0.3431938470394474
2	NNMT	54.473648	2.6519415	0.0	0.0	0.8773431132844336	0.37594141255856345
2	PLAC9	54.118668	2.1640713	0.0	0.0	0.973920130399348	0.6453572970466429
2	DCN	53.62323	3.4769258	0.0	0.0	0.9995925020374898	0.6151201650170294
2	CTSK	52.99765	2.372376	0.0	0.0	0.9417277913610432	0.42256831736996114
2	S100A6	52.80652	1.2050011	0.0	0.0	1.0	0.986680311485633
2	IGFBP6	52.78131	2.3556848	0.0	0.0	0.9979625101874491	0.8102304162202786
2	TUBA1A	51.826324	1.7957726	0.0	0.0	0.9755501222493888	0.755192759717936
2	C1R	51.22815	2.2068691	0.0	0.0	0.9832925835370823	0.5412622523545307
2	PPIB	50.16746	1.3157592	0.0	0.0	0.9645476772616137	0.8196645293336958
2	PRSS23	49.667404	1.933951	0.0	0.0	0.9498777506112469	0.6270647116199491
2	CST3	49.628735	1.318434	0.0	0.0	1.0	0.9665648635251602
2	CCDC80	49.152885	2.0425003	0.0	0.0	0.9881825590872045	0.6810470266553671
2	FTL	48.950256	0.93179834	0.0	0.0	1.0	0.9944834423319848
2	MT-CO3	48.91039	1.248316	0.0	0.0	0.9979625101874491	0.9909336573977838
2	OGN	48.60306	2.9056172	0.0	0.0	0.7383863080684596	0.1957498520922944
2	PRRX2	48.600365	2.2461584	0.0	0.0	0.8264058679706602	0.3436095876173268
2	ANXA2	48.33434	1.1862735	0.0	0.0	0.9971475142624286	0.9322982458945618
2	LAPTM4A	46.886425	1.135841	0.0	0.0	0.9906275468622657	0.9090807336222197
2	MGST1	46.88557	2.1659706	0.0	0.0	0.8744906275468622	0.38959689153967925
2	ANXA5	46.502254	1.1998554	0.0	0.0	0.9767726161369193	0.8552743088312893
2	COL6A2	46.48768	1.9735733	0.0	0.0	0.993480032599837	0.6412798413789795
2	COL6A1	46.171516	1.7879877	0.0	0.0	0.9698451507742462	0.6217400342186475
2	RAB34	46.160427	1.7910035	0.0	0.0	0.8773431132844336	0.46734037960312763
2	MMP2	46.107826	2.1216486	0.0	0.0	0.9327628361858191	0.43524840499528294
2	GPNMB	45.998264	2.0004091	0.0	0.0	0.9225753871230644	0.4292841267049361
2	C1S	45.93699	2.0656397	0.0	0.0	0.9788101059494703	0.5190681015046611
2	S100A13	45.807404	1.4872012	0.0	0.0	0.965362673186634	0.7456467164489359
2	SFRP2	45.692467	2.3635178	0.0	0.0	0.8590057049714751	0.34607205104015093
2	PDGFRL	44.568363	2.0148208	0.0	0.0	0.863080684596577	0.3660595788228146
