comparison_level	leiden_r0_5	author_cluster	n_overlap_top100	jaccard_top100	overlap_genes_top30_display
author_11_subclusters	0	MAC	4	0.02040816326530612	CD74,HLA-DRA,HLA-DRB1,RNASE1
author_11_subclusters	0	T	1	0.005025125628140704	RPS19
author_11_subclusters	0	APOC1+ FB	0	0.0	
author_11_subclusters	0	CC SMC	0	0.0	
author_11_subclusters	0	COMP+ FB	0	0.0	
author_11_subclusters	0	PC	0	0.0	
author_11_subclusters	0	PI16+ FB	0	0.0	
author_11_subclusters	0	SWC	0	0.0	
author_11_subclusters	0	Vessel SMC	0	0.0	
author_11_subclusters	1	MAC	85	0.7391304347826086	ADAP2,AIF1,ALOX5AP,ARRB2,C1QA,C1QB,C1QC,C3AR1,CD14,CD163,CD4,CD68,CD74,CD84,CPVL,CSF1R,CST3,CTSB,CTSS,CTSZ,CYBA,CYBB,DAB2,EMB,F13A1,FCER1G,FCGR2A,FCGR2B,FGL2,FOLR2
author_11_subclusters	1	T	12	0.06382978723404255	ALOX5AP,CD53,CYBA,EMB,HCLS1,HCST,ITGB2,LAPTM5,LCP1,PTPRC,SRGN,STK17B
author_11_subclusters	1	CC EC	2	0.010101010101010102	CD74,HLA-DRB1
author_11_subclusters	1	PC	2	0.010101010101010102	TGFBI,ZEB2
author_11_subclusters	1	Vessel EC	2	0.010101010101010102	RNASE1,SRGN
author_11_subclusters	1	COMP+ FB	1	0.005025125628140704	CST3
author_11_subclusters	1	SWC	1	0.005025125628140704	MARCKS
author_11_subclusters	1	APOC1+ FB	0	0.0	
author_11_subclusters	1	CC SMC	0	0.0	
author_11_subclusters	1	PI16+ FB	0	0.0	
author_11_subclusters	1	Vessel SMC	0	0.0	
author_11_subclusters	10	Vessel EC	68	0.5151515151515151	A2M,ADAM15,ADGRL4,ARL15,ATP2A3,BCAM,BST2,C10orf10,CAV1,CD34,CDC42BPA,CDH13,CDH5,CLDN5,CLEC14A,CRIP2,CTTNBP2NL,EFNB2,EGFL7,EPAS1,FAM107A,FN1,GIMAP1,GIMAP4,GIMAP7,GNAI2,GNG11,HEG1,HLA-E,ICAM2
author_11_subclusters	10	CC EC	31	0.1834319526627219	BCAM,CAV1,CD93,CLDN5,CLEC14A,CRIP2,ECSCR.1,EFNB2,EGFL7,EPAS1,ESAM,GIMAP1,GIMAP4,GIMAP7,GNG11,HLA-B,HLA-C,HLA-E,HYAL2,IFI27,KCTD12,MMRN2,NPDC1,PALMD,PECAM1,PODXL,SLC9A3R2,SOX18,SYNE2,TM4SF1
author_11_subclusters	10	Vessel SMC	3	0.015228426395939087	A2M,BCAM,C10orf10
author_11_subclusters	10	COMP+ FB	2	0.010101010101010102	FBLN2,FN1
author_11_subclusters	10	MAC	2	0.010101010101010102	RNASE1,SRGN
author_11_subclusters	10	CC SMC	1	0.005025125628140704	A2M
author_11_subclusters	10	PI16+ FB	1	0.005025125628140704	FBLN2
author_11_subclusters	10	T	1	0.005025125628140704	SRGN
author_11_subclusters	10	APOC1+ FB	0	0.0	
author_11_subclusters	10	PC	0	0.0	
author_11_subclusters	10	SWC	0	0.0	
author_11_subclusters	11	PI16+ FB	34	0.20481927710843373	ALDH1A1,ANGPTL7,APOD,C1R,C1S,CHRDL1,COL1A2,CXCL14,DCN,FBLN2,FGF7,GSN,IGFBP6,LGALS1,LGALS3BP,LTBP4,LUM,MFAP5,MMP2,MXRA8,OGN,PCOLCE,PDGFRL,PI16,PLAC9,PODN,PRELP,S100A4,SERPINF1,SERPING1
author_11_subclusters	11	APOC1+ FB	27	0.15606936416184972	ABCA8,APOD,C1R,C1S,CD81,CXCL14,CYGB,DCN,FGF7,FXYD1,GSN,LAPTM4A,LGALS1,LGALS3BP,LTBP4,LUM,MMP2,MXRA8,NUPR1,PCOLCE,PKDCC,PLAC9,PODN,PTGDS,RARRES2,SERPINF1,SERPING1
author_11_subclusters	11	COMP+ FB	27	0.15606936416184972	C1R,C1S,CHRDL1,CNTN4,COL1A2,CST3,DCN,FAM180B,FBLN2,GSN,IGFBP6,LGALS3BP,LTBP4,LUM,MFAP5,MMP2,MXRA8,OGN,OMD,PDGFRL,PI16,PLAC9,PODN,PRELP,SDC2,SFRP4,SOD3
author_11_subclusters	11	PC	9	0.04712041884816754	C12orf57,C2orf40,CALD1,FXYD1,IGFBP7,LHFP,NR2F2,RARRES2,TGFBI
author_11_subclusters	11	SWC	9	0.04712041884816754	ABCA8,ANGPTL7,CDH19,COL9A3,FXYD1,MARCKS,PIK3R1,PRNP,SCN7A
author_11_subclusters	11	CC SMC	4	0.02040816326530612	C2orf40,CALD1,FXYD1,IGFBP7
author_11_subclusters	11	MAC	4	0.02040816326530612	CST3,FTL,MARCKS,TGFBI
author_11_subclusters	11	Vessel SMC	4	0.02040816326530612	C2orf40,CALD1,IGFBP7,NR2F2
author_11_subclusters	11	CC EC	1	0.005025125628140704	NRP2
author_11_subclusters	11	T	1	0.005025125628140704	S100A4
author_11_subclusters	11	Vessel EC	1	0.005025125628140704	GLUL
author_11_subclusters	12	Vessel SMC	84	0.7241379310344828	A2M,AC013461.1,ACAN,ACTA2,ACTB,ACTG2,ACTN4,ADIRF,ADRA2A,BCAM,C2orf40,CALD1,CALM2,CARMN,CASQ2,CAV2,CLMN,CNN1,CPE,CPM,CRYAB,CSRP1,CSRP2,DACT3,DSTN,EFHD1,FHL1,FILIP1,FILIP1L,FLNA
author_11_subclusters	12	CC SMC	58	0.4084507042253521	A2M,AC013461.1,ACTA2,ACTB,ACTG2,AOC3,ATP1A2,C1QTNF1,C2orf40,CALD1,CARMN,CNN1,CPE,CRYAB,CSRP1,CSRP2,DSTN,FHL1,FILIP1L,FLNA,FRZB,IGFBP7,ITGA8,KCNAB1,KCNMB1,LGI4,LMOD1,LPP,MCAM,MRVI1
author_11_subclusters	12	PC	39	0.2422360248447205	ACTA2,ACTG2,ATP1A2,C2orf40,CALD1,CARMN,CLMN,CNN1,CPE,CSRP2,EFHD1,FHL1,FILIP1L,FLNA,HES4,IGFBP7,ITGA7,LGI4,LMOD1,LPP,MRVI1,MYH11,MYL9,MYLK,NOTCH3,NTRK3,PDE5A,PPP1R14A,RCAN2,RGS5
author_11_subclusters	12	CC EC	3	0.015228426395939087	BCAM,CAV2,TSC22D1
author_11_subclusters	12	COMP+ FB	3	0.015228426395939087	BGN,MFGE8,SOD3
author_11_subclusters	12	SWC	3	0.015228426395939087	CRYAB,LGI4,SORBS2
author_11_subclusters	12	Vessel EC	3	0.015228426395939087	A2M,BCAM,FILIP1
author_11_subclusters	12	APOC1+ FB	1	0.005025125628140704	CPE
author_11_subclusters	12	PI16+ FB	1	0.005025125628140704	SOD3
author_11_subclusters	12	T	1	0.005025125628140704	ACTB
author_11_subclusters	12	MAC	0	0.0	
