cell_type	comparison	gene_symbol	direction	logFC	logCPM	PValue	FDR	n_control_donors	n_disease_donors	control_mean_logCPM	disease_mean_logCPM	disease_minus_control_mean_logCPM	disease_donors_consistent_vs_control_median	disease_fraction_consistent_vs_control_median	disease_donors_beyond_control_range	control_donor_values_logCPM	disease_donor_values_logCPM
Mural	organic_ED_vs_normal	MASP1	down_in_ED	-2.10573985891868	3.21571141742203	0.0002744287508477	0.0476379047138343	3	5	4.0799950263945	1.9127837849912326	-2.1672112414032676	5	1.0	5	N1__Mural:2.806;N2__Mural:4.829;N3__Mural:4.605	DMED1__Mural:2.066;DMED2__Mural:2.093;ED1__Mural:1.759;ED2__Mural:0.848;ED3__Mural:2.797
Mural	organic_ED_vs_normal	CAP2	up_in_ED	0.968226843469442	6.91297984657595	0.0002800364518395	0.0476379047138343	3	5	6.196607985468428	7.184928303806176	0.988320318337748	5	1.0	5	N1__Mural:5.976;N2__Mural:6.522;N3__Mural:6.091	DMED1__Mural:7.167;DMED2__Mural:6.985;ED1__Mural:7.211;ED2__Mural:7.572;ED3__Mural:6.989
Mural	organic_ED_vs_normal	MYOM2	up_in_ED	1.80639100962287	5.10736593204684	0.0002801540377452	0.0476379047138343	3	5	3.450055998977975	5.475208756029307	2.025152757051332	5	1.0	5	N1__Mural:2.017;N2__Mural:4.235;N3__Mural:4.098	DMED1__Mural:5.690;DMED2__Mural:5.531;ED1__Mural:5.606;ED2__Mural:5.194;ED3__Mural:5.354
Mural	organic_ED_vs_normal	PLTP	down_in_ED	-1.72086293271725	6.09619984089865	0.000282757489822	0.0476379047138343	3	5	6.85495924466753	5.082807995765192	-1.7721512489023379	5	1.0	5	N1__Mural:7.234;N2__Mural:6.687;N3__Mural:6.644	DMED1__Mural:5.275;DMED2__Mural:4.718;ED1__Mural:5.477;ED2__Mural:4.121;ED3__Mural:5.823
Mural	organic_ED_vs_normal	FGF7	down_in_ED	-1.62404365244033	7.15800704079225	0.00029079887456	0.0479554717661819	3	5	7.835565510446382	6.263103310987954	-1.5724621994584282	5	1.0	5	N1__Mural:8.229;N2__Mural:7.301;N3__Mural:7.977	DMED1__Mural:6.660;DMED2__Mural:5.464;ED1__Mural:6.183;ED2__Mural:6.109;ED3__Mural:6.899
Mural	organic_ED_vs_normal	SH3RF1	down_in_ED	-0.965472454493416	5.22922755731768	0.000296570297351	0.0479554717661819	3	5	5.734862331724963	4.806424585593601	-0.9284377461313618	5	1.0	5	N1__Mural:5.378;N2__Mural:6.030;N3__Mural:5.796	DMED1__Mural:4.586;DMED2__Mural:4.627;ED1__Mural:5.025;ED2__Mural:5.096;ED3__Mural:4.698
Mural	organic_ED_vs_normal	PHLDB1	down_in_ED	-1.01908499765298	5.78048805622408	0.0002981968283934	0.0479554717661819	3	5	6.266060651549964	5.3159923204236375	-0.9500683311263263	5	1.0	5	N1__Mural:5.738;N2__Mural:6.284;N3__Mural:6.777	DMED1__Mural:5.247;DMED2__Mural:5.294;ED1__Mural:5.390;ED2__Mural:5.330;ED3__Mural:5.319
Mural	organic_ED_vs_normal	CYP1B1	down_in_ED	-1.04484639953086	7.0212780067354	0.0003109456742916	0.0486409711866157	3	5	7.541786143648467	6.522633279359293	-1.0191528642891736	5	1.0	5	N1__Mural:7.594;N2__Mural:7.442;N3__Mural:7.589	DMED1__Mural:6.064;DMED2__Mural:6.304;ED1__Mural:6.617;ED2__Mural:6.871;ED3__Mural:6.756
Mural	organic_ED_vs_normal	ZNF395	down_in_ED	-1.17775907532458	4.23384344330604	0.0003143301796861	0.0486409711866157	3	5	4.82877913315471	3.709338309304024	-1.1194408238506863	5	1.0	5	N1__Mural:4.230;N2__Mural:5.277;N3__Mural:4.979	DMED1__Mural:3.651;DMED2__Mural:3.639;ED1__Mural:3.188;ED2__Mural:4.218;ED3__Mural:3.851
Mural	organic_ED_vs_normal	COL1A1	down_in_ED	-1.8454805684873	6.93817057678486	0.0003162075571769	0.0486409711866157	3	5	7.586274998489007	5.912677882945971	-1.6735971155430365	5	1.0	5	N1__Mural:8.126;N2__Mural:6.601;N3__Mural:8.031	DMED1__Mural:5.521;DMED2__Mural:6.329;ED1__Mural:5.935;ED2__Mural:5.567;ED3__Mural:6.211
