cell_type	comparison	gene_symbol	direction	logFC	logCPM	PValue	FDR	group_summary
Fibroblast	non_diabetic_ED_vs_normal	CALB1	up_in_ED	4.42901294478315	1.01802323365537	3.81197333542257e-06	0.0195147621618066	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	PLA2G2A	up_in_ED	2.84449430152587	9.8912030391414	7.90784483268114e-06	0.0278880628665795	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	PDE8B	up_in_ED	1.9186981767196	4.26484107400682	1.33864036790576e-05	0.0278880628665795	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	SMOC1	up_in_ED	1.84050629827272	6.05630594666732	1.64065503101432e-05	0.0278880628665795	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	PDE3B	up_in_ED	2.98066489232656	2.85957772983138	1.74237082547782e-05	0.0278880628665795	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	CA2	up_in_ED	2.8807877634505	2.79939863042632	1.82231582170378e-05	0.0278880628665795	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	UG0898H09	up_in_ED	3.96669112902388	-0.654316582484145	1.88424474708681e-05	0.0278880628665795	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	MECOM	down_in_ED	-3.13561627285425	1.54447759936062	2.12336783034444e-05	0.0278880628665795	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	ATP1A2	up_in_ED	1.93301609196803	4.28494203410675	2.3356279860259e-05	0.0278880628665795	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	RNF165	up_in_ED	4.76255103895713	0.417556797905598	2.39661295776606e-05	0.0278880628665795	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	NR4A2	up_in_ED	1.98705253193218	4.94882835967728	2.52638539420325e-05	0.0278880628665795	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	NPR3	down_in_ED	-1.89594888129302	4.17408037900949	2.54221174718136e-05	0.0278880628665795	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	RGS7BP	up_in_ED	3.00798715402783	3.10145151102139	2.9346711705516e-05	0.0300471198915543	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	BRSK2	up_in_ED	2.78267414151552	1.51398879119497	3.3421290709343e-05	0.0320802614196306	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	COL4A6	up_in_ED	1.99045118638524	3.63205199199983	3.92047326553098e-05	0.0354180167129558	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	EFNB2	up_in_ED	1.7773255479434	4.29641096799162	4.33327643347061e-05	0.0355098403662652	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	HMCN2	up_in_ED	1.72457600884228	5.66147104847314	4.3930652881823e-05	0.0355098403662652	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	C8orf34	up_in_ED	2.62682564119304	1.11387089683451	4.72277157429762e-05	0.0362661629190315	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	RORB	up_in_ED	2.90237329019763	3.34298728001529	5.30341400556483e-05	0.0379717519914702	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	TYMS	down_in_ED	-2.3808556083744	2.28129515570509	5.43937064599781e-05	0.0379717519914702	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	HOTAIR	up_in_ED	3.0968399219181	1.91250693228763	6.04054288276002e-05	0.0388481637518955	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	PDK4	up_in_ED	3.09036533633312	8.77321310938538	6.07081605707443e-05	0.0388481637518955	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	COL4A5	up_in_ED	1.59564695918892	4.88190211093059	7.04122703869094e-05	0.0422828157926761	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	KLHL15	up_in_ED	1.9949248572695	3.66716921270931	7.1597401979194e-05	0.0422828157926761	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	DUSP8	up_in_ED	3.15190390074915	4.27876497217141	7.4334941164361e-05	0.0422828157926761	normal=3;non_diabetic_ED=3
