cell_type	comparison	gene_symbol	direction	logFC	logCPM	PValue	FDR	n_control_donors	n_disease_donors	control_mean_logCPM	disease_mean_logCPM	disease_minus_control_mean_logCPM	disease_donors_consistent_vs_control_median	disease_fraction_consistent_vs_control_median	disease_donors_beyond_control_range	control_donor_values_logCPM	disease_donor_values_logCPM
Fibroblast	organic_ED_vs_normal	GREM1	down_in_ED	-7.56152902843581	1.7723789613781	1.97183457544246e-06	0.0109537703928927	3	5	1.8994714733694333	-4.4788566749380205	-6.378328148307454	5	1.0	5	N1__Fibroblast:4.399;N2__Fibroblast:0.013;N3__Fibroblast:1.286	DMED1__Fibroblast:-5.568;DMED2__Fibroblast:-2.729;ED1__Fibroblast:-5.223;ED2__Fibroblast:-5.132;ED3__Fibroblast:-3.742
Fibroblast	organic_ED_vs_normal	C1QL4	down_in_ED	-4.07180607306903	-0.0241507069800852	2.09481170259948e-06	0.0109537703928927	3	5	1.0985927935377473	-3.1969784877104805	-4.295571281248228	5	1.0	5	N1__Fibroblast:1.433;N2__Fibroblast:1.127;N3__Fibroblast:0.736	DMED1__Fibroblast:-3.246;DMED2__Fibroblast:-2.729;ED1__Fibroblast:-2.901;ED2__Fibroblast:-5.132;ED3__Fibroblast:-1.977
Fibroblast	organic_ED_vs_normal	TYMS	down_in_ED	-2.29204708313866	2.02571871559096	4.12362856319122e-06	0.0161718403176952	3	5	2.9411447552524024	0.7082529556320875	-2.232891799620315	5	1.0	5	N1__Fibroblast:3.197;N2__Fibroblast:2.759;N3__Fibroblast:2.867	DMED1__Fibroblast:0.971;DMED2__Fibroblast:0.572;ED1__Fibroblast:0.610;ED2__Fibroblast:0.977;ED3__Fibroblast:0.412
Fibroblast	organic_ED_vs_normal	HOTAIR	up_in_ED	3.03080863472305	2.10325500313554	6.27844251374575e-06	0.0170151585304448	3	5	-0.543925893284705	2.664631662316636	3.2085575556013413	5	1.0	5	N1__Fibroblast:-1.318;N2__Fibroblast:0.499;N3__Fibroblast:-0.812	DMED1__Fibroblast:2.438;DMED2__Fibroblast:2.608;ED1__Fibroblast:2.859;ED2__Fibroblast:2.603;ED3__Fibroblast:2.815
Fibroblast	organic_ED_vs_normal	DUSP8	up_in_ED	3.24875072828162	4.61046401686584	6.50799714302726e-06	0.0170151585304448	3	5	1.8616881553006888	5.138059290780396	3.2763711354797076	5	1.0	5	N1__Fibroblast:2.322;N2__Fibroblast:2.096;N3__Fibroblast:1.167	DMED1__Fibroblast:5.240;DMED2__Fibroblast:5.313;ED1__Fibroblast:5.651;ED2__Fibroblast:4.690;ED3__Fibroblast:4.796
Fibroblast	organic_ED_vs_normal	NR4A2	up_in_ED	2.35273577224672	5.4584967404427	1.28931648400376e-05	0.0258315518679054	3	5	3.5977174968972556	5.909577813575081	2.311860316677825	5	1.0	5	N1__Fibroblast:3.430;N2__Fibroblast:3.565;N3__Fibroblast:3.798	DMED1__Fibroblast:6.234;DMED2__Fibroblast:6.456;ED1__Fibroblast:5.901;ED2__Fibroblast:5.550;ED3__Fibroblast:5.407
Fibroblast	organic_ED_vs_normal	LINC00632	down_in_ED	-2.22851432516815	2.36066172111654	1.47035209773066e-05	0.0258315518679054	3	5	3.2565012223193555	1.0402259118987516	-2.216275310420604	5	1.0	5	N1__Fibroblast:3.101;N2__Fibroblast:3.823;N3__Fibroblast:2.846	DMED1__Fibroblast:1.487;DMED2__Fibroblast:0.730;ED1__Fibroblast:0.610;ED2__Fibroblast:0.845;ED3__Fibroblast:1.528
Fibroblast	organic_ED_vs_normal	NR4A1	up_in_ED	3.09862893423336	8.53881347878153	1.7539882874933e-05	0.0258315518679054	3	5	5.85304792739728	9.073330857213247	3.2202829298159665	5	1.0	5	N1__Fibroblast:6.554;N2__Fibroblast:5.329;N3__Fibroblast:5.676	DMED1__Fibroblast:9.389;DMED2__Fibroblast:9.351;ED1__Fibroblast:8.668;ED2__Fibroblast:9.472;ED3__Fibroblast:8.487
Fibroblast	organic_ED_vs_normal	LINC01021	down_in_ED	-3.34665499699416	0.490843656186477	1.85069387170391e-05	0.0258315518679054	3	5	1.485206551881434	-1.9345648091128738	-3.4197713609943077	5	1.0	5	N1__Fibroblast:1.079;N2__Fibroblast:2.325;N3__Fibroblast:1.052	DMED1__Fibroblast:-1.320;DMED2__Fibroblast:-2.077;ED1__Fibroblast:-1.523;ED2__Fibroblast:-3.547;ED3__Fibroblast:-1.206
Fibroblast	organic_ED_vs_normal	NCALD	up_in_ED	3.00769415754208	3.03081035589352	1.95967693591448e-05	0.0258315518679054	3	5	0.5759146805497014	3.4956168294406	2.9197021488908983	5	1.0	5	N1__Fibroblast:0.608;N2__Fibroblast:0.422;N3__Fibroblast:0.698	DMED1__Fibroblast:3.654;DMED2__Fibroblast:3.543;ED1__Fibroblast:4.110;ED2__Fibroblast:3.748;ED3__Fibroblast:2.424
